,sijainti,pvm,klo,suunta,suuntaselite,Määrä,keskinopeus
0,154,20190101,00,1,Lahti,666,0.0
1,154,20190101,00,2,Helsinki,253,0.0
2,154,20190102,00,1,Lahti,113,0.0
3,154,20190102,00,2,Helsinki,69,0.0
4,154,20190103,00,1,Lahti,130,0.0
5,154,20190103,00,2,Helsinki,76,0.0
6,154,20190104,00,1,Lahti,139,0.0
7,154,20190104,00,2,Helsinki,84,0.0
8,154,20190105,00,1,Lahti,258,0.0
9,154,20190105,00,2,Helsinki,191,0.0
10,154,20190106,00,1,Lahti,295,0.0
11,154,20190106,00,2,Helsinki,212,0.0
12,154,20190107,00,1,Lahti,150,0.0
13,154,20190107,00,2,Helsinki,56,0.0
14,154,20190108,00,1,Lahti,104,0.0
15,154,20190108,00,2,Helsinki,63,0.0
16,154,20190109,00,1,Lahti,108,0.0
17,154,20190109,00,2,Helsinki,66,0.0
18,154,20190110,00,1,Lahti,136,0.0
19,154,20190110,00,2,Helsinki,79,0.0
20,154,20190111,00,1,Lahti,120,0.0
21,154,20190111,00,2,Helsinki,76,0.0
22,154,20190112,00,1,Lahti,261,0.0
23,154,20190112,00,2,Helsinki,184,0.0
24,154,20190113,00,1,Lahti,286,0.0
25,154,20190113,00,2,Helsinki,238,0.0
26,154,20190114,00,1,Lahti,94,0.0
27,154,20190114,00,2,Helsinki,62,0.0
28,154,20190115,00,1,Lahti,96,0.0
29,154,20190115,00,2,Helsinki,51,0.0
30,154,20190116,00,1,Lahti,92,0.0
31,154,20190116,00,2,Helsinki,44,0.0
32,154,20190117,00,1,Lahti,130,0.0
33,154,20190117,00,2,Helsinki,76,0.0
34,154,20190118,00,1,Lahti,169,0.0
35,154,20190118,00,2,Helsinki,86,0.0
36,154,20190119,00,1,Lahti,274,0.0
37,154,20190119,00,2,Helsinki,192,0.0
38,154,20190120,00,1,Lahti,300,0.0
39,154,20190120,00,2,Helsinki,280,0.0
40,154,20190121,00,1,Lahti,87,0.0
41,154,20190121,00,2,Helsinki,62,0.0
42,154,20190122,00,1,Lahti,98,0.0
43,154,20190122,00,2,Helsinki,62,0.0
44,154,20190123,00,1,Lahti,105,0.0
45,154,20190123,00,2,Helsinki,54,0.0
46,154,20190124,00,1,Lahti,163,0.0
47,154,20190124,00,2,Helsinki,80,0.0
48,154,20190125,00,1,Lahti,145,0.0
49,154,20190125,00,2,Helsinki,78,0.0
