pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
149;st101_Malmi;20190101;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;406;482;392;289;250;190;231;213;174;200;333;545;838;1102;1346;1266;1234;1157;1081;902;707;544;379;238;14499
149;st101_Malmi;20190101;2;Tapiola;*;Ajoneuvoluokka;HA - PA;481;589;451;303;258;225;259;217;148;201;325;530;797;1227;1514;1658;1681;1539;1480;1194;999;692;514;277;17559
149;st101_Malmi;20190102;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;142;106;57;53;76;356;1298;1687;1648;1195;1151;1232;1454;1606;1978;2706;2483;2104;1721;1248;1071;831;521;247;26971
149;st101_Malmi;20190102;2;Tapiola;*;Ajoneuvoluokka;HA - PA;174;104;83;71;147;596;2116;2355;1929;1391;1186;1379;1443;1578;1729;2398;2371;2023;1633;1383;1245;927;595;348;29204
149;st101_Malmi;20190103;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;180;134;85;64;107;309;1274;1723;1644;1321;1420;1466;1557;1758;2255;2401;2206;2321;1828;1522;1130;883;495;297;28380
149;st101_Malmi;20190103;2;Tapiola;*;Ajoneuvoluokka;HA - PA;210;127;90;73;138;575;1991;2256;1984;1584;1345;1496;1577;1706;1922;2681;2488;2220;1727;1410;1346;961;611;322;30840
149;st101_Malmi;20190104;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;187;110;102;57;102;335;1234;1616;1620;1345;1309;1509;1724;1987;2480;2538;2519;2254;1760;1372;1004;865;577;412;29018
149;st101_Malmi;20190104;2;Tapiola;*;Ajoneuvoluokka;HA - PA;214;130;85;63;149;566;1876;2010;1870;1475;1313;1530;1653;1887;2101;2675;2571;2193;1636;1387;1193;976;664;431;30648
149;st101_Malmi;20190105;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;285;178;126;127;143;168;234;412;605;1126;1402;1600;1833;1970;2203;2112;1921;1725;1505;1156;980;828;648;449;23736
149;st101_Malmi;20190105;2;Tapiola;*;Ajoneuvoluokka;HA - PA;266;187;161;113;137;193;353;441;574;838;1215;1450;1776;2059;2228;2191;2039;1953;1706;1431;1330;899;665;501;24706
149;st101_Malmi;20190106;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;327;231;205;144;142;145;170;271;428;649;915;1361;1566;1884;1928;1957;1839;1754;1604;1286;1013;700;471;260;21250
149;st101_Malmi;20190106;2;Tapiola;*;Ajoneuvoluokka;HA - PA;340;238;206;143;113;137;269;265;380;600;885;1151;1542;1839;2077;2154;2091;2133;1948;1602;1250;807;510;302;22982
