pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
118;st101_Espoo_Keilaniemi;20191201;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;156;97;92;60;57;64;64;90;138;341;448;566;782;805;876;885;924;754;651;531;301;377;227;88;9374
118;st101_Espoo_Keilaniemi;20191201;2;Länsiväylä;*;Ajoneuvoluokka;HA - PA;142;90;57;54;39;36;73;73;122;274;354;510;744;755;830;930;750;669;561;487;447;269;141;99;8506
118;st101_Espoo_Keilaniemi;20191202;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;87;65;13;13;40;148;676;1897;2579;1400;900;889;888;945;983;1148;1018;948;771;579;509;463;132;84;17175
118;st101_Espoo_Keilaniemi;20191202;2;Länsiväylä;*;Ajoneuvoluokka;HA - PA;59;26;15;5;18;121;624;807;916;898;713;866;902;850;1077;1859;2293;1781;1124;741;603;390;191;108;16987
118;st101_Espoo_Keilaniemi;20191203;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;56;19;15;14;28;139;680;1809;2525;1339;864;906;1001;959;1110;1187;1110;1076;884;628;534;433;197;90;17603
118;st101_Espoo_Keilaniemi;20191203;2;Länsiväylä;*;Ajoneuvoluokka;HA - PA;52;24;17;7;18;130;594;820;913;917;743;958;920;879;1106;1791;2247;1778;1130;797;677;405;238;122;17283
118;st101_Espoo_Keilaniemi;20191204;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;66;35;20;24;32;153;680;1840;2532;1398;908;911;1007;977;1103;1228;1025;1016;829;612;553;436;192;115;17692
118;st101_Espoo_Keilaniemi;20191204;2;Länsiväylä;*;Ajoneuvoluokka;HA - PA;47;28;14;11;24;112;609;825;944;907;761;957;941;870;1070;1836;2249;1813;1076;716;594;389;205;122;17120
118;st101_Espoo_Keilaniemi;20191205;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;67;28;25;18;43;147;668;1785;2511;1456;989;1005;1055;1008;1167;1181;1021;1034;827;647;527;486;235;132;18062
118;st101_Espoo_Keilaniemi;20191205;2;Länsiväylä;*;Ajoneuvoluokka;HA - PA;80;34;21;18;29;136;620;771;927;955;860;1055;1018;1014;1242;1833;2279;1789;1135;797;647;486;237;165;18148
