pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
154;vt4_Viikinmäki;20190101;1;Lahti;*;Ajoneuvoluokka;HA - PA;666;559;352;260;248;262;195;178;124;166;238;385;535;606;680;737;875;702;627;537;592;445;236;151;10356
154;vt4_Viikinmäki;20190101;2;Helsinki;*;Ajoneuvoluokka;HA - PA;253;277;231;202;196;184;299;195;143;201;248;417;494;719;858;941;949;877;827;697;525;368;253;161;10515
154;vt4_Viikinmäki;20190102;1;Lahti;*;Ajoneuvoluokka;HA - PA;113;66;61;38;54;143;401;637;695;601;793;949;894;1077;1561;2487;2250;1494;1152;835;723;574;422;192;18212
154;vt4_Viikinmäki;20190102;2;Helsinki;*;Ajoneuvoluokka;HA - PA;69;46;59;50;133;582;1970;2089;2068;1405;978;1024;998;957;1059;1174;1256;1075;893;769;659;425;254;170;20162
154;vt4_Viikinmäki;20190103;1;Lahti;*;Ajoneuvoluokka;HA - PA;130;118;78;56;68;156;376;702;772;754;956;940;1019;1254;1729;2540;2491;1751;1191;945;879;836;434;174;20349
154;vt4_Viikinmäki;20190103;2;Helsinki;*;Ajoneuvoluokka;HA - PA;76;58;40;80;122;584;2175;2344;2225;1545;1094;1184;1209;1145;1190;1236;1413;1406;951;824;651;455;242;140;22389
154;vt4_Viikinmäki;20190104;1;Lahti;*;Ajoneuvoluokka;HA - PA;139;125;81;67;66;139;384;644;713;668;936;1094;1144;1456;1992;2596;2365;1605;1187;995;844;809;554;321;20924
154;vt4_Viikinmäki;20190104;2;Helsinki;*;Ajoneuvoluokka;HA - PA;84;64;51;64;122;620;2053;2053;1966;1449;1151;1133;1196;1161;1243;1333;1472;1306;975;772;613;440;321;241;21883
154;vt4_Viikinmäki;20190105;1;Lahti;*;Ajoneuvoluokka;HA - PA;258;151;150;118;122;116;151;203;285;579;876;956;1042;1188;1176;1196;1292;1047;935;1028;980;688;716;388;15641
154;vt4_Viikinmäki;20190105;2;Helsinki;*;Ajoneuvoluokka;HA - PA;191;116;122;89;97;156;386;315;501;772;826;1035;1210;1332;1377;1372;1290;1264;1098;916;642;461;363;257;16188
154;vt4_Viikinmäki;20190106;1;Lahti;*;Ajoneuvoluokka;HA - PA;295;270;196;160;142;123;134;184;213;368;763;775;936;1250;1099;1131;1222;1149;1106;1385;895;539;426;150;14911
154;vt4_Viikinmäki;20190106;2;Helsinki;*;Ajoneuvoluokka;HA - PA;212;159;142;112;100;116;286;221;369;527;705;835;1065;1244;1224;1601;1402;1358;1208;823;650;423;225;132;15139
154;vt4_Viikinmäki;20190107;1;Lahti;*;Ajoneuvoluokka;HA - PA;150;106;63;46;48;154;482;850;910;810;1060;957;1031;1171;1834;2886;2947;2034;1345;1046;946;604;409;164;22053
154;vt4_Viikinmäki;20190107;2;Helsinki;*;Ajoneuvoluokka;HA - PA;56;38;57;54;148;707;2545;2984;2971;1782;1073;1067;1026;1014;983;1164;1346;1123;869;713;566;378;215;128;23007
154;vt4_Viikinmäki;20190108;1;Lahti;*;Ajoneuvoluokka;HA - PA;104;60;56;50;69;137;427;771;923;805;967;1024;1012;1221;1837;2884;2982;2033;1402;975;982;917;493;172;22303
154;vt4_Viikinmäki;20190108;2;Helsinki;*;Ajoneuvoluokka;HA - PA;63;52;29;53;164;680;2427;2899;3023;1646;1155;1108;1097;1023;1002;1156;1354;1399;995;744;611;430;200;131;23441
154;vt4_Viikinmäki;20190109;1;Lahti;*;Ajoneuvoluokka;HA - PA;108;64;70;44;66;152;404;781;885;730;878;947;1008;1113;1744;2735;2717;2121;1354;1090;997;729;481;206;21424
