,pvm,vuosi,kvartaali,kuukausi,paiva,tunti,datetime
0,20230330,2023,talvi,03,30,00,2023-03-30 00:00:00
1,20230330,2023,talvi,03,30,01,2023-03-30 01:00:00
2,20230330,2023,talvi,03,30,02,2023-03-30 02:00:00
3,20230330,2023,talvi,03,30,03,2023-03-30 03:00:00
4,20230330,2023,talvi,03,30,04,2023-03-30 04:00:00
5,20230330,2023,talvi,03,30,05,2023-03-30 05:00:00
6,20230330,2023,talvi,03,30,06,2023-03-30 06:00:00
7,20230330,2023,talvi,03,30,07,2023-03-30 07:00:00
8,20230330,2023,talvi,03,30,08,2023-03-30 08:00:00
9,20230330,2023,talvi,03,30,09,2023-03-30 09:00:00
10,20230330,2023,talvi,03,30,10,2023-03-30 10:00:00
11,20230330,2023,talvi,03,30,11,2023-03-30 11:00:00
12,20230330,2023,talvi,03,30,12,2023-03-30 12:00:00
13,20230330,2023,talvi,03,30,13,2023-03-30 13:00:00
14,20230330,2023,talvi,03,30,14,2023-03-30 14:00:00
15,20230330,2023,talvi,03,30,15,2023-03-30 15:00:00
16,20230330,2023,talvi,03,30,16,2023-03-30 16:00:00
17,20230330,2023,talvi,03,30,17,2023-03-30 17:00:00
18,20230330,2023,talvi,03,30,18,2023-03-30 18:00:00
19,20230330,2023,talvi,03,30,19,2023-03-30 19:00:00
20,20230330,2023,talvi,03,30,20,2023-03-30 20:00:00
21,20230330,2023,talvi,03,30,21,2023-03-30 21:00:00
22,20230330,2023,talvi,03,30,22,2023-03-30 22:00:00
23,20230330,2023,talvi,03,30,23,2023-03-30 23:00:00
24,20230331,2023,talvi,03,31,00,2023-03-31 00:00:00
