Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Tuulen nopeus (m/s)
2020,1,1,00:00,UTC,0,0,0,-1.7,22520,3.7
2020,1,1,01:00,UTC,0,0,0,-1.1,41970,4.9
2020,1,1,02:00,UTC,0,0,0,-0.5,50000,5.7
2020,1,1,03:00,UTC,0,0,0,-0.2,50000,5.4
2020,1,1,04:00,UTC,0,0,0,-0.1,50000,4.8
2020,1,1,05:00,UTC,0,0,0,-0.1,50000,5.6
2020,1,1,06:00,UTC,0,0,0,0.7,50000,5.8
2020,1,1,07:00,UTC,0,0,0,1.4,50000,5
2020,1,1,08:00,UTC,0,0,0,1.8,50000,4
2020,1,1,09:00,UTC,0,0,0,2.4,50000,5.1
2020,1,1,10:00,UTC,0,0,0,2.5,50000,3.6
2020,1,1,11:00,UTC,0,0,0,2.7,50000,5.6
2020,1,1,12:00,UTC,0,0,0,3.2,50000,5.6
2020,1,1,13:00,UTC,0,0,0,3.1,50000,6.1
2020,1,1,14:00,UTC,0,0,0,2.8,50000,7.2
2020,1,1,15:00,UTC,0,0,0,2.8,50000,7.3
2020,1,1,16:00,UTC,0,0,0,2.6,50000,6.6
2020,1,1,17:00,UTC,0,0,0,2.2,50000,7
2020,1,1,18:00,UTC,0,0,0,2,50000,7.4
2020,1,1,19:00,UTC,0,0,0,2.2,50000,7.6
2020,1,1,20:00,UTC,0,0,0,2.1,50000,5.8
2020,1,1,21:00,UTC,0,0,0,2.5,50000,6.3
2020,1,1,22:00,UTC,0,0,0,2.3,50000,5.5
2020,1,1,23:00,UTC,0,0,0,2.3,50000,6.4
2020,1,2,00:00,UTC,0,0,0,2.1,50000,6
2020,1,2,01:00,UTC,0,0,0,2.1,50000,5.8
2020,1,2,02:00,UTC,0,0,0,2.1,50000,6.2
2020,1,2,03:00,UTC,0,0,0,2.3,50000,6.5
2020,1,2,04:00,UTC,0,0,0,2.4,50000,6.9
2020,1,2,05:00,UTC,0,0,0,2.6,50000,6.6
2020,1,2,06:00,UTC,0,0,0,2.7,44720,6.6
2020,1,2,07:00,UTC,0,0,0,3,39220,6.5
2020,1,2,08:00,UTC,0,0,0,3.1,37280,5.9
2020,1,2,09:00,UTC,0,0,0,3.5,32380,4.9
2020,1,2,10:00,UTC,0,0,0,3.7,29700,3.4
2020,1,2,11:00,UTC,0,0,0,3.7,23140,5.6
2020,1,2,12:00,UTC,0,0,0,4.1,21460,6.6
2020,1,2,13:00,UTC,0,0,0,4.3,17160,4.8
2020,1,2,14:00,UTC,0,0,0,4,12630,6.5
2020,1,2,15:00,UTC,0,0,0,4.5,11930,7.5
2020,1,2,16:00,UTC,0,0,0,4.9,11110,8.3
