Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Tuulen nopeus (m/s)
2021,1,1,01:00,UTC,0,0,0,-0.3,2529,0.7
2021,1,1,02:00,UTC,0,0,0,-0.1,2920,0.3
2021,1,1,03:00,UTC,0,0,0,0,2028,1.5
2021,1,1,04:00,UTC,0,0,0,0.1,1289,1.5
2021,1,1,05:00,UTC,0,0,0,0.2,286,1.2
2021,1,1,06:00,UTC,0,0,2,0.2,272,1.4
2021,1,1,07:00,UTC,0.1,0,2,0.3,454,1
2021,1,1,08:00,UTC,0,0,0,0.3,1514,1.1
2021,1,1,09:00,UTC,0,0,0,0.3,2829,0.4
2021,1,1,10:00,UTC,0,0,0,0.6,5769,1.6
2021,1,1,11:00,UTC,0,0,0,2,8879,2.7
2021,1,1,12:00,UTC,0,0,0,2.2,22979,2.2
2021,1,1,13:00,UTC,0,0,0,2.1,18186,1.9
2021,1,1,14:00,UTC,0,0,0,1.8,17961,2.1
2021,1,1,15:00,UTC,0,0,0,1.7,13219,2.5
2021,1,1,16:00,UTC,0,0,0,1.1,23414,1.4
2021,1,1,17:00,UTC,0,0,0,0.8,11650,1.1
2021,1,1,18:00,UTC,0,0,0,0.6,9865,1.9
2021,1,1,19:00,UTC,0,0,0,0.3,6530,1.5
2021,1,1,20:00,UTC,0,0,0,-0.4,4222,1.2
2021,1,1,21:00,UTC,0,0,0,0.4,2092,1.8
2021,1,1,22:00,UTC,0,0,0,0.1,6016,3.4
2021,1,1,23:00,UTC,0,0,0,0.3,16829,4.1
2021,1,2,00:00,UTC,0,0,0,0.3,10708,3.6
2021,1,2,01:00,UTC,0,0,0,0.4,28916,4.4
2021,1,2,02:00,UTC,0,0,0,0.1,45470,3.2
2021,1,2,03:00,UTC,0,0,0,0.1,43721,3.6
2021,1,2,04:00,UTC,0,0,0,0.2,50796,3.8
2021,1,2,05:00,UTC,0,0,0,0.1,50828,3.3
2021,1,2,06:00,UTC,0,0,0,0.1,51605,3.9
2021,1,2,07:00,UTC,0,0,0,0,35050,4.2
2021,1,2,08:00,UTC,0,0,0,-0.2,68410,5.1
2021,1,2,09:00,UTC,0,0,0,-0.3,68738,3.6
2021,1,2,10:00,UTC,0,0,0,-0.3,25786,4.3
2021,1,2,11:00,UTC,0,0,0,-0.5,11980,5
2021,1,2,12:00,UTC,0.2,0,0,-0.9,5605,5
2021,1,2,13:00,UTC,0.4,0.2,0,-1.2,2554,4
2021,1,2,14:00,UTC,0.5,0.6,3,-1.4,2220,4
2021,1,2,15:00,UTC,0.6,0.7,3,-1.6,2621,4.8
2021,1,2,16:00,UTC,0.5,0.5,4,-1.6,2254,4.8
2021,1,2,17:00,UTC,0.6,0.4,4,-1.7,1339,4.8
2021,1,2,18:00,UTC,0.8,0.7,5,-1.7,1158,4.8
2021,1,2,19:00,UTC,0.8,0.4,7,-1.8,2019,4.7
2021,1,2,20:00,UTC,0.4,0.3,7,-1.8,3414,4.8
2021,1,2,21:00,UTC,0.5,0.2,8,-2,3700,5.1
2021,1,2,22:00,UTC,0.4,0.7,9,-2.1,3317,5
2021,1,2,23:00,UTC,0.2,0,10,-2.3,11412,5
2021,1,3,00:00,UTC,0.1,0,9,-2.5,8229,4.4
2021,1,3,01:00,UTC,0.2,0.4,9,-2.7,2641,4.5
2021,1,3,02:00,UTC,0.4,0.2,10,-2.8,6146,4.5
2021,1,3,03:00,UTC,0.1,0,10,-3,4479,4.7
2021,1,3,04:00,UTC,0.1,0,10,-3,12988,5
2021,1,3,05:00,UTC,0.4,0,11,-3.2,2728,4.3
2021,1,3,06:00,UTC,0.5,0.5,10,-3.2,6195,4.1
2021,1,3,07:00,UTC,0.1,0,12,-3.1,13971,4
2021,1,3,08:00,UTC,0.2,0,12,-3.3,7080,4.2
2021,1,3,09:00,UTC,0.2,0.2,11,-3.2,2556,3.7
2021,1,3,10:00,UTC,0.3,0.5,11,-3.1,6193,3.6
2021,1,3,11:00,UTC,0.1,0,11,-3,17688,4.1
2021,1,3,12:00,UTC,0,0,12,-3,18309,4.5
2021,1,3,13:00,UTC,0,0,12,-3.1,24876,3.9
2021,1,3,14:00,UTC,0,0,12,-3.2,16885,3.1
2021,1,3,15:00,UTC,0,0,12,-3.3,18275,4
2021,1,3,16:00,UTC,0,0,12,-3.6,45116,3.9
2021,1,3,17:00,UTC,0,0,12,-3.5,33894,3.4
2021,1,3,18:00,UTC,0,0,12,-3.5,46346,3.2
2021,1,3,19:00,UTC,0,0,12,-3.3,41167,3.6
2021,1,3,20:00,UTC,0,0,11,-3.2,46282,3.2
2021,1,3,21:00,UTC,0,0,11,-3.1,38644,2.3
2021,1,3,22:00,UTC,0,0,11,-3,31188,3
2021,1,3,23:00,UTC,0,0,10,-2.8,39170,3.4
2021,1,4,00:00,UTC,0,0,11,-2.6,39870,2.1
2021,1,4,01:00,UTC,0,0,-,-2.4,37020,2.8
2021,1,4,02:00,UTC,0,0,12,-2.2,34949,3.3
2021,1,4,03:00,UTC,-,-,-,-2.2,37981,3.2
2021,1,4,04:00,UTC,0,0,10,-2.1,40449,2.5
2021,1,4,05:00,UTC,0,0,10,-2.1,45165,2.3
2021,1,4,06:00,UTC,0,0,10,-2,42290,3
2021,1,4,07:00,UTC,0,0,10,-2,39580,3.4
2021,1,4,08:00,UTC,0,0,10,-2,37298,3.4
2021,1,4,09:00,UTC,0,0,10,-2,34711,4
2021,1,4,10:00,UTC,0,0,10,-1.9,37048,3.8
2021,1,4,11:00,UTC,0,0,10,-1.8,40577,3.5
2021,1,4,12:00,UTC,0,0,10,-1.8,37632,3.6
2021,1,4,13:00,UTC,0,0,10,-1.8,32274,3.3
2021,1,4,14:00,UTC,0,0,10,-2,29851,3.9
2021,1,4,15:00,UTC,0,0,10,-2,28829,3.8
2021,1,4,16:00,UTC,0,0,10,-2,26819,3
2021,1,4,17:00,UTC,0,0,10,-1.9,26647,3.2
2021,1,4,18:00,UTC,0,0,10,-1.9,24464,3.5
2021,1,4,19:00,UTC,0,0,9,-1.7,24886,3.4
2021,1,4,20:00,UTC,0,0,9,-1.7,25079,3.9
2021,1,4,21:00,UTC,0,0,9,-1.8,25710,3.9
2021,1,4,22:00,UTC,0,0,9,-2.1,22922,4.7
2021,1,4,23:00,UTC,0,0,9,-2.2,28736,4.1
2021,1,5,00:00,UTC,0,0,9,-2.3,32091,3.5
2021,1,5,01:00,UTC,0,0,9,-2.5,32743,3.6
2021,1,5,02:00,UTC,0,0,9,-2.6,31078,4
2021,1,5,03:00,UTC,0,0,9,-2.7,31448,4.4
2021,1,5,04:00,UTC,0,0,9,-2.9,32095,3.4
2021,1,5,05:00,UTC,0,0,9,-3.1,31894,3.3
2021,1,5,06:00,UTC,0,0,9,-3.4,29431,3.2
2021,1,5,07:00,UTC,0,0,9,-3.7,30538,3.1
